2882.00 ( 8213.86    4.44   0.110) |  218.497 |  125.478  208.423  229.357  204.760  212.142  215.524  217.072  217.672  217.797  217.629  217.329  216.726  216.053  215.124  214.493  210.199  208.098  183.631  176.046  214.890 20
2881.70 ( 9370.80    4.31   0.069) |  159.199 |  196.674  160.868  233.975  182.660  170.854  165.923  163.494  162.169  161.617  161.452  161.476  161.484  161.843  162.046  163.271  163.045  159.877  167.777 18
2881.40 (10260.23    4.24   0.074) |  243.380 |  297.966  166.371  157.166  330.667  273.639  259.205  252.618  248.962  247.142  245.919  245.371  244.427  244.325  243.700  243.837  245.299  326.462 17
2881.10 ( 9674.12    4.25   0.156) |  176.238 |  231.409  141.596  191.375  162.229  216.759  194.608  186.664  182.659  180.605  179.481  178.762  178.778  179.628  181.614  187.209  222.993 16
2880.80 (10107.83    4.16   0.099) |  263.221 |  327.045  173.278  155.042  327.665  291.964  278.767  272.357  268.819  266.845  265.803  265.217  265.991  267.044  272.415  341.608 15
2880.50 ( 7996.32    4.37   0.235) |  249.026 |  146.554  261.747  278.364  213.231  237.257  243.422  246.420  247.693  248.079  248.006  247.286  245.811  243.693  240.806  221.709  201.362  204.362  203.546  246.088 19
2880.20 (10942.53    4.04   0.173) |  388.468 |  447.572  221.720  381.352  315.206  489.210  427.099  409.072  400.248  395.530  392.873  391.528  390.934  390.802  391.146  398.701  579.725  413.799 17
2879.90 (10981.28    4.09   0.075) |  378.453 |  417.341  227.489  313.456  428.636  402.521  391.787  386.366  383.131  381.309  380.151  379.476  379.138  379.039  379.228  382.813  403.968 16
2879.60 (10385.13    4.15   0.067) |  282.472 |  344.794  309.475  340.687  310.964  298.354  291.811  288.249  286.120  284.973  284.289  284.002  283.852  283.811  284.230  286.172  284.254  390.701 17
2879.30 ( 8505.97    4.32   0.127) |  199.772 |  179.139  221.528  195.814  194.138  196.617  198.381  199.311  199.678  199.738  199.611  199.408  198.765  198.294  196.466  194.171  192.794  191.370  188.096  245.867  189.711 20
2879.00 ( 7079.72    4.67   0.162) |  379.574 |  161.347  261.792  356.748  379.746  381.862  382.579  382.144  381.114  379.906  378.596  377.270  374.106  373.476  366.917  359.842  339.323  332.545  266.459  437.630  281.495  377.890 21
2878.70 ( 3604.49    5.64   0.591) | 1027.562 |  642.539  885.769 1055.785 1022.512 1020.256 1057.396 1045.986 1039.705 1034.724 1035.748 1030.493 1025.818 1020.603 1013.982 1003.013  980.484  976.073  924.600  987.129  968.513  977.953 21
2878.40 (10442.93    4.07   0.126) |  310.388 |  404.256  381.467  284.286  439.702  345.296  328.399  320.671  316.870  314.740  313.943  313.892  314.235  319.017  333.436  511.631 15
2878.10 (13642.42    3.78   0.081) |  858.675 |  989.941 1027.456  880.626  843.902  848.379  852.171  854.992  856.707  857.647  858.120  858.356  858.503  858.599  858.790  859.222  882.152 16
2877.80 ( 1893.50    7.43   1.313) | 1403.269 |  930.309 1046.962 1254.109 1312.084 1283.519 1423.063 1413.029 1383.965 1424.457 1404.335 1392.208 1382.551 1372.303 1404.070 1387.733 1365.414 1317.123 17
2877.50 ( 7014.48    4.65   0.354) |  434.197 |  188.166  390.011  347.767  416.977  443.500  456.479  400.526  412.278  416.043  415.071  412.415  404.290  394.973  378.391  310.151  301.961 16
2877.20 ( 6502.70    4.81   0.311) |  502.383 |  284.330  488.413  508.183  521.180  542.220  477.870  492.010  495.383  496.423  495.538  494.804  491.784  488.129  481.502  462.475  324.128  253.240 17
2876.90 ( 7788.44    4.55   0.208) |  273.172 |  136.004  274.319  211.800  200.708  234.389  250.747  259.236  263.573  265.882  266.425  266.459  264.383  260.605  251.535  237.307  179.730  180.301 17
2876.60 (11321.85    4.00   0.067) |  456.079 |  593.566  366.981  381.464  501.307  472.850  464.638  460.834  458.856  457.804  457.211  456.862  456.734  456.954  457.162  458.563  462.899  565.840  457.911 18
2876.30 (10879.33    4.09   0.021) |  370.216 |  445.382  434.610  377.013  373.809  372.304  371.443  370.935  370.649  370.524  370.507  370.504  370.595  370.580  370.665  370.827  370.445  372.010  371.504 18
2876.00 ( 8116.41    4.52   0.117) |  244.688 |  130.711  182.686  205.461  224.537  234.145  239.083  241.578  242.644  242.893  242.638  242.186  241.497  239.709  236.977  234.108  216.693  198.499  202.404 18
2875.70 ( 1953.50    7.47   1.048) | 1385.323 |  793.142 1055.444 1192.338 1266.117 1337.339 1364.385 1336.862 1321.516 1310.962 1415.935 1392.900 1419.829 1402.470 1389.780 1377.139 1357.134 1344.436 1316.065 18
2875.40 ( 8800.98    4.41   0.110) |  163.292 |  196.928  165.892  167.774  172.788  167.122  164.657  164.190  164.085  163.922  163.748  163.656  163.575  163.497  163.344  163.130  180.248  163.333  163.321  163.312 19
2875.10 ( 9379.88    4.28   0.121) |  191.136 |  244.543  169.911  175.414  168.305  221.326  203.141  197.747  195.332  194.063  193.376  192.933  192.762  192.727  193.266  196.815  217.971  748.509  199.914  191.587  191.275 20
2874.80 ( 4452.39    5.26   0.472) |  864.248 |  486.886  899.616  879.309  847.817  867.268  882.962  876.951  873.021  869.686  866.650  863.594  860.788  857.448  852.209  843.616  819.718  809.973  810.276  799.944  739.983 20
2874.50 ( 5584.73    5.01   0.339) |  651.804 |  323.711  565.872  602.812  691.604  702.955  615.517  633.363  638.451  639.915  639.222  636.627  632.048  627.947  619.742  618.687  600.638  543.440 17
2874.20 (10370.06    4.11   0.009) |  320.462 |  622.829  296.611  313.188  317.201  318.655  319.372  319.824  320.107  320.301  320.498  320.571  320.636  320.780  320.572  320.449  320.483  320.498 17
2873.90 ( 9624.66    4.17   0.067) |  213.000 |  235.422  159.371  179.042  243.346  227.022  220.627  217.502  215.842  215.054  214.614  214.368  214.316  214.587  215.387  220.006  222.074  219.167  643.949  213.053 19
2873.60 ( 3741.26    5.44   0.680) |  946.721 |  683.085  871.680  881.213 1011.252  991.569  986.233  929.041  939.537  939.502  937.553  943.932  937.192  928.696  922.888  912.116  885.144  787.345  885.129  726.221 19
2873.30 ( 3727.74    5.52   0.575) |  946.763 |  712.817  790.710  952.014  974.103 1037.486  982.882  960.760  957.498  953.459  949.728  945.522  940.715  933.612  926.028  914.779  882.878  859.161  817.083  571.532  714.890  727.504  868.457  873.951 23
2873.00 ( 2941.17    6.15   0.725) | 1094.707 |  734.336  813.484 1047.330 1118.470 1097.685 1087.350 1079.821 1073.636 1114.881 1103.927 1110.036 1101.987 1093.551 1085.159 1071.183 1027.505 1033.058  162.442  814.962 1024.973 1029.094 1032.914 1036.445 23
2872.70 ( 3218.71    6.09   0.594) | 1033.931 |  655.423  748.986  975.858 1017.388 1129.138 1078.692 1063.212 1060.031 1048.482 1040.949 1035.048 1029.477 1025.770 1019.986 1015.614 1013.476  996.623  939.013 18
2872.40 ( 1899.85    7.38   1.169) | 1386.400 |  951.485 1048.297 1335.897 1278.275 1262.961 1329.380 1429.123 1400.247 1465.602 1422.725 1409.971 1400.114 1391.129 1379.812 1374.609 1364.339 1349.841 1335.881 18
2872.10 (11369.60    4.15   0.040) |  424.063 |  487.311  322.484  450.823  434.691  429.665  427.359  425.989  425.241  424.773  424.447  424.312  424.222  424.156  424.124  424.368  424.211  424.202  424.474 18
2871.80 ( 5719.28    5.00   0.316) |  658.582 |  229.220  539.995  589.480  695.576  651.684  661.896  661.938  660.760  659.068  657.442  655.571  652.990  648.927  645.069  634.397  626.134  615.647  528.244 18
2871.50 ( 5276.79    5.31   0.301) |  747.645 |  391.747  680.698  687.030  746.054  745.239  759.690  755.532  752.462  749.615  747.050  744.489  742.311  737.667  733.284  723.576  695.928  633.368  597.764  608.120  579.680 20
2871.20 ( 3366.48    5.87   0.741) | 1125.405 |  695.406  914.650 1013.229 1215.903 1193.886 1157.902 1119.649 1124.896 1124.000 1121.206 1117.662 1114.301 1106.730 1100.274 1093.411 1079.773 1049.055 1039.435  990.155 19
2870.90 (11277.89    4.22   0.026) |  380.811 |  511.375  363.041  379.338  380.633  380.858  380.873  380.886  380.928  380.949  381.012  380.994  380.953  380.965  381.209  380.869  380.944  380.883  380.953  381.313 19
2870.60 ( 5581.81    5.27   0.310) |  767.837 |  312.295  769.417  736.274  853.015  777.328  778.446  776.645  773.910  770.948  768.067  765.175  762.570  759.330  753.935  753.297  753.708  742.142  712.304  683.896 19
2870.30 ( 2082.24    7.30   1.075) | 1439.582 |  921.235 1048.686 1255.232 1286.576 1360.088 1489.898 1449.101 1484.617 1458.028 1442.168 1430.536 1420.819 1410.585 1403.389 1398.603 1398.002 1377.264 1337.646 1388.553 19
2870.00 ( 8963.88    4.53   0.150) |  230.362 |  146.705  202.843  221.719  204.961  216.090  222.413  225.828  227.560  228.264  228.302  228.257  227.624  226.628  225.413  221.913  211.772  203.575  320.204  197.975 19
2869.70 ( 9286.17    4.58   0.071) |  187.886 |  171.032  207.602  184.278  184.106  185.635  186.777  187.454  187.777  187.885  187.870  187.769  187.617  187.448  187.256  187.156  187.116  186.994  183.060  183.541  182.121 20
2869.40 (11706.87    4.15   0.047) |  450.964 |  588.524  342.489  476.808  461.472  456.638  454.221  452.921  452.175  451.762  451.594  451.566  451.691  451.791  452.521  452.540  451.138  450.983  456.477 18
2869.10 ( 4915.71    5.41   0.450) |  865.187 |  394.449  861.238  841.335  895.784  917.245  915.939  914.288  838.527  849.923  852.160  851.369  849.571  845.717  837.832  832.321  813.671  809.477  799.245  675.080 19
2868.80 ( 9918.21    4.37   0.050) |  189.145 |  240.944  251.554  213.157  201.617  195.996  193.135  191.680  190.955  190.613  190.451  190.554  190.713  191.355  192.798  194.457  199.017  209.003  290.280 18
2868.50 ( 9062.83    4.55   0.119) |  205.380 |  196.595  199.111  207.413  206.216  207.267  207.126  207.010  206.716  206.306  205.803  205.184  204.349  203.081  201.369  196.118  193.942  204.774  203.658 18
2868.20 ( 7893.04    4.71   0.062) |  292.205 |  144.316  354.691  320.413  308.488  304.212  301.038  298.309  296.037  294.095  292.434  290.938  290.237  289.078  289.735  288.424  288.112  290.882  292.198  287.115  288.058 20
2867.90 ( 6831.62    4.74   0.159) |  445.813 |  164.296  481.330  453.432  459.073  451.395  450.232  448.852  447.303  445.793  444.405  443.167  442.433  441.248  437.772  435.876  440.042  437.736  433.703  366.563  297.482  421.011 21
2867.60 ( 2963.05    6.08   0.742) | 1210.088 |  818.466 1090.147 1024.093 1157.904 1250.395 1232.243 1215.681 1205.620 1239.056 1226.956 1218.800 1211.538 1205.928 1194.713 1184.349 1168.617 1146.871 1159.897 1148.066 1076.438 1083.635 1090.146 22
2867.30 ( 9977.62    4.22   0.100) |  227.114 |  240.748  159.374  217.224  285.109  253.161  241.415  235.707  232.548  230.704  229.632  228.965  228.715  228.453  229.019  228.707  235.918  356.162 17
2867.00 ( 8894.77    4.49   0.048) |  171.108 |  169.431  164.498  176.363  172.840  172.588  172.544  172.351  172.090  171.819  171.539  171.259  170.726  170.470  170.903  170.647  168.802  167.319 17
